title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url
Newly Built 5 Bedroom Terrace Duplex With Bq,250000000,sale,Gwarinpa,Gwarinpa,Trans Engineering Dawaki Gwarinpa Abuja,5,5,6,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PFBF,01-Mar-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-trans-engineering-dawaki-gwarinpa-abuja-8PFBF
Fully Furnished 6 Bedrooms With Bq,300000000,sale,Gwarinpa,Gwarinpa,Dantata Estate Gwarinpa Abuja,6,6,7,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PJLL,31-Mar-26,24-Apr-26,https://www.propertypro.ng/property/6-bedroom-house-for-sale-dantata-estate-gwarinpa-abuja-0PJLL
4 Bedroom Terrace Duplex With Bq,280000000,sale,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PFCA,01-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-main-gwarinpa-abuja-2PFCA
"7bedroom Detached Duplex, Bq & Swimming Pool",550000000,sale,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,7,7,8,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PKJA,09-Apr-26,24-Apr-26,https://www.propertypro.ng/property/7-bedroom-house-for-sale-main-gwarinpa-abuja-4PKJA
5 Bedroom Detached Duplex With Bq,400000000,sale,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,5,5,6,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PBEN,26-Jan-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-main-gwarinpa-abuja-8PBEN
Luxurious 5 Bedroom Terraced Duplex With Bq,250000000,sale,Gwarinpa,Gwarinpa,Main Gwarinpa Abuja,5,5,6,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9NZZR,16-Jan-26,24-Apr-26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-main-gwarinpa-abuja-9NZZR
9 Units Of 2 Bedroom Flat,120000000,sale,Gwarinpa,Gwarinpa,6th Avenue Gwarinpa Abuja,2,,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PAQH,21-Jan-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-sale-6th-avenue-gwarinpa-abuja-4PAQH
Distress 3 Bedrooms Flat Ensuite,65000000,sale,Gwarinpa,Gwarinpa,Dawaki Opposite Gwarinpa Gwarinpa Abuja,3,4,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PMFZ,25-Apr-26,25-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-sale-dawaki-opposite-gwarinpa-gwarinpa-abuja-4PMFZ
Newly Built 4 Bedroom Terraced Duplex With Bq,200000000,sale,Gwarinpa,Gwarinpa,Gwarimpa 6avenue Gwarinpa Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7NSPU,24-Oct-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-sale-gwarimpa-6avenue-gwarinpa-abuja-7NSPU
7 Bedroom Detached Duplex With Penthouse,600000000,sale,Gwarinpa,Gwarinpa,In An Estate At Gwarinpa Extension Gwarinpa Abuja,7,7,8,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1NLUX,31-Aug-25,24-Apr-26,https://www.propertypro.ng/property/7-bedroom-house-for-sale-in-an-estate-at-gwarinpa-extension-gwarinpa-abuja-1NLUX
