title,price_ngn,listing_type,area,neighbourhood,address,bedrooms,bathrooms,toilets,property_type,description,pid,date_added,last_updated,source_url
2 Bedroom Flat,2500000,rent,Apo,Apo,"Apo Gudu By Ibeto Hotel, Gudu, Abuja Apo Abuja",2,2,2,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PENJ,25-Feb-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-apo-gudu-by-ibeto-hotel-gudu-abuja-apo-abuja-3PENJ
Spacious 3 Bedroom Flat,4500000,rent,Apo,Apo,Apo Resettlement Apo Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",9PJXL,04-Apr-26,23-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-apo-resettlement-apo-abuja-9PJXL
Newly Built 4 Bedroom Terrace Duplex With Bq,9000000,rent,Apo,Apo,Apo Gudu District By Ceadercrest Hospital Apo Abuja,4,4,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8NVGT,21-Nov-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-apo-gudu-district-by-ceadercrest-hospital-apo-abuja-8NVGT
2 Bedroom Flat,5000000,rent,Apo,Apo,Apo Resettlement Abuja. ( Video Of The House Is Attached) Apo Resettlement Apo Abuja,2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PEVU,27-Feb-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-apo-resettlement-abuja-video-of-the-house-is-attached-apo-resettlement-apo-abuja-2PEVU
A Fully Furnished 3 Bedroom Terrace,7500000,rent,Karsana,Karsana,Gwarimpa Extension Karsana Abuja,3,4,4,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PKYU,14-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-gwarimpa-extension-karsana-abuja-7PKYU
A Fully Furnished 3 Bedroom Terrace,7500000,rent,Karsana,Karsana,Gwarimpa Extension Karsana Abuja,3,4,4,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PKYU,14-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-gwarimpa-extension-karsana-abuja-6PKYU
A Fully Furnished 3 Bedroom Terrace,7500000,rent,Karsana,Karsana,Gwarimpa Extension Karsana Abuja,3,4,4,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PKYU,14-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-gwarimpa-extension-karsana-abuja-5PKYU
Magnificently Finished 3 Bedroom Bungalow,10000000,rent,Karsana,Karsana,Gwarinpa Extension Karsana Abuja,3,3,,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PEYZ,28-Feb-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-gwarinpa-extension-karsana-abuja-7PEYZ
Amazing 4 Bedroom Bungalow,10000000,rent,Karsana,Karsana,Efab Queens Karsana Karsana Abuja,4,4,,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PKAG,06-Apr-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-efab-queens-karsana-karsana-abuja-0PKAG
2 Bedroom Terrace Duplex With Bq,10000000,rent,Lokogoma,Lokogoma,Lokogoma Abuja,2,2,,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PJAQ,27-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-lokogoma-abuja-7PJAQ
Very Spacious One Bedroom,2200000,rent,Lokogoma,Lokogoma,In An Estate At Dakwo District Lokogoma Abuja,1,1,2,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PKJW,09-Apr-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-in-an-estate-at-dakwo-district-lokogoma-abuja-3PKJW
A New 6 Bedroom Fully Detached Duplex + Bq,8000000,rent,Lokogoma,Lokogoma,In Serene & Secured Estate. Video Is Available. Lokogoma Abuja,6,6,7,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PKSP,12-Apr-26,24-Apr-26,https://www.propertypro.ng/property/6-bedroom-house-for-rent-in-serene-secured-estate-video-is-available-lokogoma-abuja-5PKSP
3 Bedroom Semi Detached Bungalow,6000000,rent,Lokogoma,Lokogoma,"Sunnyvale Estate, Lokogoma Abuja",3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PHZY,27-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-sunnyvale-estate-lokogoma-abuja-3PHZY
A Newly Built 4 Bedroom Semi Detached Duplex,8000000,rent,Lokogoma,Lokogoma,Lokogoma District Abuja. Lokogoma Abuja,4,4,5,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PJRD,02-Apr-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lokogoma-district-abuja-lokogoma-abuja-6PJRD
2bedroom Flat To Let Near Jubilation Bethel,3500000,rent,Lokogoma,Lokogoma,Pengasson Estate Lokogoma Abuja,2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PHVY,25-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-pengasson-estate-lokogoma-abuja-2PHVY
3 Bedroom Bungalow,4800000,rent,Lokogoma,Lokogoma,Lokogoma Abuja,3,4,,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PERY,26-Feb-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lokogoma-abuja-3PERY
2 Bedroom Apartment,4000000,rent,Lokogoma,Lokogoma,Lokogoma Abuja,2,2,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PHMV,23-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-lokogoma-abuja-5PHMV
3 Bedroom Detached Bungalow,5500000,rent,Lokogoma,Lokogoma,Lokogoma Abuja,3,,,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PHUZ,25-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lokogoma-abuja-2PHUZ
Self Contain,800000,rent,Lokogoma,Lokogoma,"Lokogoma Village, By Lokogoma Express, Abuja Lokogoma Abuja",1,1,1,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PHHM,20-Mar-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-lokogoma-village-by-lokogoma-express-abuja-lokogoma-abuja-3PHHM
3 Bedroom Terrace Duplex With Bq,5000000,rent,Lokogoma,Lokogoma,Lokogoma Abuja,3,3,4,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PGKK,12-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lokogoma-abuja-5PGKK
4 Bedroom Duplex,5000000,rent,Lokogoma,Lokogoma,"By Lokogoma Express, Lokogoma Abuja",4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PEFA,23-Feb-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-by-lokogoma-express-lokogoma-abuja-4PEFA
1 Bedroom Flat,1700000,rent,Lokogoma,Lokogoma,Lokogoma Abuja,1,1,1,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PHKX,22-Mar-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-lokogoma-abuja-2PHKX
2 Bedroom Flat,3500000,rent,Lokogoma,Lokogoma,"Lokogoma Dakwo Road, Lokogoma, Abuja Lokogoma Abuja",2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PEVZ,27-Feb-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-lokogoma-dakwo-road-lokogoma-abuja-lokogoma-abuja-1PEVZ
Newly Built 2 Bedroom Flat,4000000,rent,Lokogoma,Lokogoma,Estate Close To Lokogoma Junction Lokogoma Abuja,2,3,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PEHV,23-Feb-26,23-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-estate-close-to-lokogoma-junction-lokogoma-abuja-6PEHV
4 Bedroom Fully Detached Bungalow,8000000,rent,Lokogoma,Lokogoma,Lokogoma Abuja,4,5,5,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PEWQ,27-Feb-26,23-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lokogoma-abuja-2PEWQ
3 Bedroom With Maid Room,6500000,rent,Lokogoma,Lokogoma,Sunnyvale Estate Lokogoma Abuja,3,3,4,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PFSZ,06-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-sunnyvale-estate-lokogoma-abuja-1PFSZ
Decent 3bedroom Bungalow (self Compound),4500000,rent,Galadimawa,Galadimawa,"By Sunnyvale, Galadimawa, Abuja Galadimawa Abuja",3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PLUY,22-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-by-sunnyvale-galadimawa-abuja-galadimawa-abuja-3PLUY
Standard 2 Bedroom,4500000,rent,Galadimawa,Galadimawa,Suncity Estate Galadimawa Abuja,2,2,3,House,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PKPR,11-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-suncity-estate-galadimawa-abuja-5PKPR
Very Standard 2 Bedroom Flat,6000000,rent,Galadimawa,Galadimawa,Brooklyn Estate By Amsco Galadimawa Abuja,2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PKPR,11-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-brooklyn-estate-by-amsco-galadimawa-abuja-8PKPR
2bedroom Flat To Let Behind Suncity Estate,3500000,rent,Galadimawa,Galadimawa,Behind Suncity Estate Galadimawa Abuja,2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PHVX,25-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-behind-suncity-estate-galadimawa-abuja-5PHVX
2 Bedroom Flat To Let Near Shafa Station,3000000,rent,Galadimawa,Galadimawa,"Near Ay Shafa, Galadimawa Abuja",2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PGVW,16-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-near-ay-shafa-galadimawa-abuja-5PGVW
Newly Built 4 Bedroom Terrace Duplex With Bq,10000000,rent,Galadimawa,Galadimawa,By Galadimawa Roundabout Galadimawa Abuja,4,5,5,Terraced Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4NRBR,10-Oct-25,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-by-galadimawa-roundabout-galadimawa-abuja-4NRBR
4 Bedroom Duplex,8500000,rent,Galadimawa,Galadimawa,Galadimawa Abuja,4,4,,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PFDA,02-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-galadimawa-abuja-0PFDA
Brand New 6 Bedrm Fully Detached Duplex Galadimawa,10000000,rent,Galadimawa,Galadimawa,Estate In Galadimawa Galadimawa Abuja,6,6,,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PKHN,09-Apr-26,24-Apr-26,https://www.propertypro.ng/property/6-bedroom-house-for-rent-estate-in-galadimawa-galadimawa-abuja-1PKHN
3 Bedroom Bungalow,6500000,rent,Galadimawa,Galadimawa,Galadimawa Abuja,3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PFUY,07-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-galadimawa-abuja-5PFUY
Fully Detached 4bedroom Duplex ( Tarred Road ),9000000,rent,Galadimawa,Galadimawa,"Galadimawa, Abuja Galadimawa Abuja",4,5,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0PHHD,20-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-galadimawa-abuja-galadimawa-abuja-0PHHD
4 Bedroom Duplex,6000000,rent,Galadimawa,Galadimawa,Galadimawa Abuja,4,4,5,Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PGQC,13-Mar-26,24-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-galadimawa-abuja-7PGQC
2 Bedroom Flat,6000000,rent,Galadimawa,Galadimawa,Galadimawa Galadimawa Abuja,2,2,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PKNE,10-Apr-26,23-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-galadimawa-galadimawa-abuja-4PKNE
2 Bedroom Flat,4000000,rent,Galadimawa,Galadimawa,"Galadimawa, Estate Behind Sun City Galadimawa Abuja",2,3,,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PGDD,10-Mar-26,23-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-galadimawa-estate-behind-sun-city-galadimawa-abuja-1PGDD
3 Bedroom Flat,6000000,rent,Galadimawa,Galadimawa,Galadimawa Galadimawa Abuja,3,3,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PJXK,04-Apr-26,23-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-galadimawa-galadimawa-abuja-2PJXK
3 Bedroom Flat To Let In An Estate Near Suncity,6000000,rent,Galadimawa,Galadimawa,Near Ay Shafa Filling Station Galadimawa Abuja,3,4,4,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PFRT,06-Mar-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-near-ay-shafa-filling-station-galadimawa-abuja-4PFRT
New 2 Bedroom Flat To Let After Shafa Station,3000000,rent,Galadimawa,Galadimawa,Near Aa Rano Filling Station Galadimawa Abuja,2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",4PGLV,12-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-near-aa-rano-filling-station-galadimawa-abuja-4PGLV
1bedroom Flat With 2 Toilets To Let Near Shafa Station,2000000,rent,Galadimawa,Galadimawa,Near Shafa Station Galadimawa Abuja,1,2,2,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",7PJWE,03-Apr-26,24-Apr-26,https://www.propertypro.ng/property/1-bedroom-flat-apartment-for-rent-near-shafa-station-galadimawa-abuja-7PJWE
For Rent 3bedroom Semi Detach Bungalow Penthouse,6000000,rent,Galadimawa,Galadimawa,Galadimawa District In An Estate. Abuja Nigeria. Galadimawa Abuja,3,3,4,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",1PKRQ,11-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-galadimawa-district-in-an-estate-abuja-nigeria-galadimawa-abuja-1PKRQ
Newly Built 4 Bedroom Semi Detached Duplex,6500000,rent,Kubwa,Kubwa,Kubwa Abuja,4,,,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2NXEY,11-Dec-25,22-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-kubwa-abuja-2NXEY
Newly Built 4 Bedroom Semi Detached Duplex,6500000,rent,Kubwa,Kubwa,Kubwa Abuja,4,,,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",0NXGU,12-Dec-25,22-Apr-26,https://www.propertypro.ng/property/4-bedroom-house-for-rent-kubwa-abuja-0NXGU
Newly Built 1 Bedroom Apartment,4500000,rent,Kubwa,Kubwa,"Kubwa, Abuja Kubwa Abuja",2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PKTH,12-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-kubwa-abuja-kubwa-abuja-6PKTH
Newly Built 2 Bedroom Semi Detached Duplex,4500000,rent,Kubwa,Kubwa,Kubwa Abuja,2,3,3,Semi-Detached Duplex,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",2PEBY,21-Feb-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-kubwa-abuja-2PEBY
Standard 2 Bedroom Flat,3000000,rent,Kubwa,Kubwa,Fcda Kubwa Abuja,2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",3PKCT,07-Apr-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-fcda-kubwa-abuja-3PKCT
Newly Built 2 Bedroom Flat,3000000,rent,Kubwa,Kubwa,"F14 District , Phase 4 Kubwa Abuja",2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",8PHFE,19-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-f14-district-phase-4-kubwa-abuja-8PHFE
2 Bedroom Flat,2800000,rent,Kubwa,Kubwa,"Phase 2 Site 2, Kubwa Abuja",2,3,3,Flat/Apartment,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",5PGVR,16-Mar-26,24-Apr-26,https://www.propertypro.ng/property/2-bedroom-house-for-rent-phase-2-site-2-kubwa-abuja-5PGVR
3 Bedroom Bungalow Inside Estate,3000000,rent,Kubwa,Kubwa,Fcda Kubwa Abuja,3,3,3,Bungalow,"Safety TipsDo not make any inspection fee without seeing the agent and property.Only pay Rental fee, Sales fee or any upfront payment after you verify the Landlord.Ensure you meet the Agent in an open location.The Agent does not represent PropertyPro and PropertyPro is not liable for any monetary transaction between you and the Agent.",6PKQF,11-Apr-26,24-Apr-26,https://www.propertypro.ng/property/3-bedroom-house-for-rent-fcda-kubwa-abuja-6PKQF
